Food,FDC ID,Calories (NotMass),Total fat (G),Saturated fat (G),Polyunsaturated fat (G),Monounsaturated fat (G),Total carb (G),Dietary fiber (G),Sugar (G),Total protein (G),Histidine (MG),Isoleucine (MG),Leucine (MG),Lysine (MG),Methionine (MG),Phenylalanine (MG),Threonine (MG),Tryptophan (MG),Valine (MG),Cholesterol (MG),Vitamin A (UG),Vitamin B1 Thiamin (MG),Vitamin B2 Riboflavin (MG),Vitamin B3 Niacin (MG),Vitamin B5 Pantothenic acid (MG),Vitamin B6 (MG),Vitamin B7 Biotin (UG),Vitamin B9 Folate (UG),Vitamin B12 (UG),Vitamin C (MG),Vitamin D (UG),Vitamin E (MG),Vitamin K (UG),Choline (MG),Na (MG),Mg (MG),P (MG),K (MG),Ca (MG),Cr (UG),Mn (MG),Fe (MG),Cu (UG),Zn (MG),Se (UG),Mo (UG),I (UG)
Raspberries; raw,167755,52,0.65,0.019,0.375,0.064,11.9,6.5,4.42,1.2,0,0,0,0,0,0,0,0,0,0,2,0.032,0.038,0.598,0.329,0.055,0,21,0,26.2,0,0.87,7.8,12.3,1,22,29,151,25,0,0.67,0.69,90,0.42,0.2,0,0
Strawberries; raw,167762,32,0.3,0.015,0.155,0.043,7.68,2,4.89,0.67,12,16,34,26,2,19,20,8,19,0,1,0.024,0.022,0.386,0.125,0.047,0,24,0,58.8,0,0.29,2.2,5.7,1,13,24,153,16,0,0.386,0.41,48,0.14,0.4,0,0
Kiwifruit; green; raw,168153,61,0.52,0.029,0.287,0.047,14.7,3,8.99,1.14,27,51,66,61,24,44,47,15,57,0,4,0.027,0.025,0.341,0.183,0.063,0,25,0,92.7,0,1.46,40.3,7.8,3,17,34,312,34,0,0.098,0.31,130,0.14,0.2,0,0
Apples; raw; granny smith; with skin (Includes foods for USDA's Food Distribution Program),168203,58,0.19,0,0,0,13.6,2.8,9.59,0.44,0,0,0,0,0,0,0,0,0,0,5,0.019,0.025,0.126,0.056,0.037,0,3,0,0,0,0.18,3.2,3.4,1,5,12,120,5,0,0.044,0.15,31,0.04,0.1,0,0
Kale; raw,168421,35,1.49,0.178,0.673,0.104,4.42,4.1,0.99,2.92,172,175,205,175,29,150,131,35,159,0,241,0.113,0.347,1.18,0.37,0.147,0,62,0,93.4,0,0.66,390,0.5,53,33,55,348,254,0,0.92,1.6,53,0.39,0.9,0,0
Spinach; raw,168462,23,0.39,0.063,0.165,0.01,3.63,2.2,0.42,2.86,64,147,223,174,53,129,122,39,161,0,469,0.078,0.189,0.724,0.065,0.195,0,194,0,28.1,0,2.03,483,19.3,79,79,49,558,99,0,0.897,2.71,130,0.53,1,0,0
Sweet potato; raw; unprepared (Includes foods for USDA's Food Distribution Program),168482,86,0.05,0.018,0.014,0.001,20.1,3,4.18,1.57,31,55,92,66,29,89,83,31,86,0,709,0.078,0.061,0.557,0.8,0.209,0,11,0,2.4,0,0.26,1.8,12.3,55,25,47,337,30,0,0.258,0.61,151,0.3,0.6,0,0
Quinoa; uncooked,168874,368,6.07,0.706,3.29,1.61,64.2,7,0,14.1,407,504,840,766,309,593,421,167,594,0,1,0.36,0.318,1.52,0.772,0.487,0,184,0,0,0,2.44,0,70.2,5,197,457,563,47,0,2.03,4.57,590,3.1,8.5,0,0
Pineapple; raw; all varieties,169124,50,0.12,0.009,0.04,0.013,13.1,1.4,9.85,0.54,10,19,24,26,12,21,19,5,24,0,3,0.079,0.032,0.5,0.213,0.112,0,18,0,47.8,0,0.02,0.7,5.5,1,12,8,109,13,0,0.927,0.29,110,0.12,0.1,0,0
Garlic; raw,169230,149,0.5,0.089,0.249,0.011,33.1,2.1,1,6.36,113,217,308,273,76,183,157,66,291,0,0,0.2,0.11,0.7,0.596,1.24,0,3,0,31.2,0,0.08,1.7,23.2,17,25,153,401,181,0,1.67,1.7,299,1.16,14.2,0,0
